"No.","Time","Source","Destination","Protocol","Length","Info"
"106688","20.773227","10.1.246.45","222.29.98.58","TCP","1516","[TCP Previous segment not captured] 51020  >  5201 [ACK] Seq=15516620 Ack=1 Win=29312 Len=1374 TSval=1455335559 TSecr=1915940287"
"106689","20.773349","10.1.246.45","222.29.98.58","TCP","1516","51020  >  5201 [ACK] Seq=15517994 Ack=1 Win=29312 Len=1374 TSval=1455335559 TSecr=1915940287"
"106960","20.799571","222.21.99.58","10.1.246.45","TCP","224","5201  >  51020 [ACK, Reserved] Seq=1 Ack=1 Win=37971 Len=0 TSval=1915907550 TSecr=1455302877"
"111899","21.203653","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=19240160 Win=6761 Len=0"
"111901","21.203750","222.29.98.58","10.1.246.45","TCP","232","[TCP ACKed unseen segment] 5201  >  51020 [ACK] Seq=1 Ack=27729070 Win=6761 Len=0 TSval=1915940712 TSecr=1455335975"
"111902","21.203800","222.29.98.58","10.33.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=1 Win=6761 Len=8 TSval=1915940715 TSecr=1446947367"
"111904","21.203902","218.29.98.58","10.1.246.45","TCP","232","39451  >  5084 [NS, Reserved] Seq=1 Win=10250, bogus TCP header length (0, must be at least 20)"
"111905","21.203948","222.29.98.58","10.1.246.45","TCP","142","5201  >  51020 [ACK] Seq=1 Ack=19421528 Win=6761 Len=0"
"111906","21.203993","222.29.98.58","10.1.246.45","TCP","134","[TCP ACKed unseen segment] [TCP Previous segment not captured] 5201  >  51020 [ACK] Seq=1073741825 Ack=23658938 Win=6185 Len=0"
"112436","21.255028","222.29.98.58","10.1.246.45","RSVP-E2EI","224","Unknown (81). [Malformed Packet]"
"112446","21.255647","222.29.98.58","10.1.246.45","LLC","224","I, N(R)=64, N(S)=1; SNAP, OUI 0x000008 (Xerox Corporation), PID 0x0045"
"113822","21.363350","222.29.98.58","10.1.246.45","LLC","232","U, func=UI; SNAP, OUI 0x800800 (Unknown), PID 0x0800"
"113823","21.363395","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=21033230 Win=6761 Len=0 TSval=1915940872 TSecr=1455336133"
"113871","21.365760","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK, ECN] Seq=494641448 Ack=2586953894 Win=6761 TSval=842199039 TSecr=1455336120[Malformed Packet]"
"113873","21.365850","222.29.98.58","10.1.182.45","TCP","232","5201  >  51016 [ACK] Seq=1 Ack=1 Win=7785 Len=0 TSval=842199042 TSecr=1186900673"
"113878","21.366072","222.29.98.58","10.1.246.45","TCP","142","5201  >  51020 [ACK] Seq=1 Ack=21035978 Win=6761 Len=0 TSval=1915940873 TSecr=1455336149"
"113911","21.367613","222.29.98.58","10.1.246.45","LLC","232","U, func=UI; DSAP SNAP Individual, SSAP 0x8a Command"
"114413","21.413152","10.5.246.45","222.29.98.58","TCP","1516","51052  >  5201 [ACK] Seq=1 Ack=1 Win=101 Len=1374"
"115477","21.500343","10.1.246.45","222.29.98.58","TCP","1516","[TCP Previous segment not captured] 51020  >  5201 [ACK] Seq=22445702 Ack=1 Win=29312 Len=1374 TSval=1455336285 TSecr=1915941011"
"115482","21.502280","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=22444328 Ack=1 Win=29312 Len=1374 TSval=1455336285 TSecr=1915941011"
"118535","21.834712","10.1.246.45","222.29.98.58","TCP","1516","51020  >  5201 [ACK] Seq=24200300 Ack=1 Win=29312 Len=1374 TSval=1455336621 TSecr=1915941345"
"121884","22.446884","10.1.246.45","222.29.98.58","TCP","1516","51020  >  5201 [ACK] Seq=25067294 Ack=1 Win=29312 Len=1374 TSval=1455337233 TSecr=1915941962"
"122911","22.615941","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=25340720 Win=23145 Len=0"
"127670","23.309460","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=27216230 Ack=1 Win=29312 Len=1374 TSval=1455338088 TSecr=1915942820"
"131536","23.847224","222.29.98.58","10.1.246.45","TCP","224","37969  >  50956 [ACK, CWR] Seq=1 Ack=1 Win=6761 Len=0"
"131550","23.848538","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=28598474 Win=6761 Len=0 TSval=1915943365 TSecr=1455338629"
"132294","23.986763","222.29.98.58","10.129.246.37","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=1 Win=6697 Len=0"
"132448","23.998407","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=28816940 Win=6761 Len=0 TSval=1915943516 TSecr=1455334683"
"133270","24.139628","222.29.102.58","10.129.246.45","IPv4","224","Fragmented IP protocol (proto=Control Message 38, off=32832, ID=08f2)"
"133339","24.145493","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [PSH, ACK] Seq=494641448 Ack=2595116828 Win=39529 TSval=1918040818 TSecr=1455338927[Malformed Packet]"
"134434","24.313265","10.1.246.45","222.29.98.58","TCP","1516","51020  >  5201 [ACK] Seq=29457224 Ack=1 Win=29312 Len=1374 TSval=1455339100 TSecr=1915943830"
"134435","24.313309","10.1.246.45","222.29.98.58","TCP","1516","[TCP Previous segment not captured] 51020  >  5201 [ACK] Seq=29459972 Ack=1 Win=29312 Len=1374 TSval=1455339100 TSecr=1915943830"
"134436","24.313379","10.1.246.45","222.29.98.58","TCP","1516","51020  >  5137 [ACK] Seq=1 Ack=1 Win=229, bogus TCP header length (0, must be at least 20)"
"134437","24.313424","10.1.246.45","222.29.98.58","TCP","1516","[TCP Previous segment not captured] 51020  >  5201 [ACK] Seq=29462720 Ack=1 Win=29312 Len=1374 TSval=1455339100 TSecr=1915943830"
"134438","24.313468","10.1.246.45","222.29.98.58","TCP","1516","51020  >  5201 [ACK] Seq=29464094 Ack=1 Win=29312 Len=1374 TSval=1455339100 TSecr=1915943830"
"134439","24.313512","10.1.246.45","222.29.98.58","TCP","1516","51020  >  5201 [ACK] Seq=29465468 Ack=1 Win=29312 Len=1374 TSval=1455339100 TSecr=1915943830"
"134440","24.313557","10.1.246.45","222.29.98.58","TCP","1516","51020  >  5201 [ACK] Seq=29466842 Ack=1 Win=29312 Len=1374 TSval=1455339100 TSecr=1915943830"
"134554","24.320349","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=29469590 Ack=1 Win=29312 Len=1374 TSval=1455339100 TSecr=1915943830"
"134556","24.320465","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=29472338 Ack=1 Win=29312 Len=1374 TSval=1455339100 TSecr=1915943830"
